030.1_5_/01t4S;Grande encyclopédie Alpha des sciences et des techniques : technologie. t4;  ;Paris;G. Batelière;1976;318;Encyclopédie des sciences;6536
030.1_5_/01t5S;Grande encyclopédie Alpha des sciences et des techniques : technologie. t5;  ;Paris;G. Batelière;1976;318;Encyclopédie des sciences;6537
030.1_5_/02t1S;Grande encyclopédie Alpha des sciences et des techniques : biologie. t1;  ;Paris;G. Batelière;1900;310;Encyclopédie des sciences;6525
030.1_5_/02t2S;Grande encyclopédie Alpha des sciences et des techniques : biologie. t2;  ;Paris;G. Batelière;1900;310;Encyclopédie des sciences;6532
030.1_5_/02t3S;Grande encyclopédie Alpha des sciences et des techniques : biologie. t3;  ;Paris;G. Batelière;1900;366;Encyclopédie des sciences;6535
030.1_5_/03t1S;Grande encyclopédie Alpha des sciences et des techniques : géologie. t1;  ;Paris;G. Batelière;1975;310;Encyclopédie des sciences;6524
030.1_5_/03t2S;Grande encyclopédie Alpha des sciences et des techniques : géologie. t2;  ;Paris;G. Batelière;1976;342;Encyclopédie des sciences;6529
030.1_5_/04t1S;Grande encyclopédie Alpha des sciences et des techniques : zoologie. t1;  ;Paris;G. Batelière;1974;310;Encyclopédie des sciences;6522
030.1_5_/04t2S;Grande encyclopédie Alpha des sciences et des techniques : zoologie. t2;  ;Paris;G. Batelière;1974;310;Encyclopédie des sciences;6530
030.1_5_/04t3S;Grande encyclopédie Alpha des sciences et des techniques : zoologie. t3;  ;Paris;G. Batelière;1974;390;Encyclopédie des sciences;6534
030.1_5_/05t1S;Grande encyclopédie Alpha des sciences et des techniques : les végétaux. t1;  ;Paris;G. Batelière;1974;310;Encyclopédie des sciences;6523
030.1_5_/05t2S;Grande encyclopédie Alpha des sciences et des techniques : la botanique. t2;  ;Paris;G. Batelière;1974;374;Encyclopédie des sciences;6531
030.1_5_/06t1S;Grande encyclopédie Alpha des sciences et des techniques : physique. t1;  ;Paris;G. Batelière;1976;310;Encyclopédie des sciences;6526
030.1_5_/06t2S;Grande encyclopédie Alpha des sciences et des techniques : physique. t2;  ;Paris;G. Batelière;1977;334;Encyclopédie des sciences;6528
030.1_5_/07S;Grande encyclopédie Alpha des sciences et des techniques : mathématiques;  ;Paris;G. Batelière;1976;326;Encyclopédie des sciences;6538
030.1_5_/08S;Grande encyclopédie Alpha des sciences et des techniques;  ;Paris;G. Batelière;1976;324;Encyclopédie des sciences;6539
030.1_5_/09S;Grande encyclopédie Alpha des sciences et des techniques : astronomie, physique du globe;  ;Paris;G. Batelière;1976;326;Encyclopédie des sciences;6540
030.1_5_/10S;Les mathématiques;FEVRE Danielle. PESEZ Yvette;Paris;Cepl;1975;544;Les mathématiques;6506
030.1_5_/11S;Encyclopédie de l'écologie : le présent en question;  ;Paris;Larousse;1977;490;Encyclopédie de l'écologie;11200
030.1_613.2/1t1;Encyclopédie moderne de l'hygiène alimentaire : exigences alimentaires de l'homme normal. t1;LEDERER Jean;Paris;Maloine;1977;204;Encyclopédie de l'hygiène alimentaire;8565
030.1_613.2/1t2;Encyclopédie moderne de l'hygiène alimentaire: hygiène des aliments. t2;LEDERER Jean;Paris;Maloine;1977;318;Encyclopédie de l'hygiène alimentaire;8566
030.1_613.2/1t3;Encyclopédie moderne de l'hygiène alimentaire: technologie et hygiène alimentaire. t3;LEDERER Jean;Paris;Maloine;1977;156;Encyclopédie de l'hygiène alimentaire;8567
030.1_613.2/1t4;Encyclopédie moderne de l'hygiène alimentaire: les intoxications alimentaires. t4;LEDERER Jean;Paris;Maloine;1978;226;Encyclopédie de l'hygiène alimentaire;8568
030.1_61_/01t1S;Grande encyclopédie Atlas de la médecine;  ;Paris;Atlas;1978;322;Encyclopédie: médecine;7541
030.1_61_/01t2S;Grande encyclopédie Atlas de la médecine;  ;Paris;Atlas;1978;322;Encyclopédie: médecine;7542
030.1_61_/01t3S;Grande encyclopédie Atlas de la médecine;  ;Paris;Atlas;1978;322;Encyclopédie: médecine;7543
030.1_61_/01t4S;Grande encyclopédie Atlas de la médecine;  ;Paris;Atlas;1978;322;Encyclopédie: médecine;7544
030.1_61_/01t5S;Grande encyclopédie Atlas de la médecine;  ;Paris;Atlas;1978;322;Encyclopédie: médecine;7545
030.1_61_/01t6S;Grande encyclopédie Atlas de la médecine;  ;Paris;Atlas;1978;322;Encyclopédie: médecine;7546
030.1_61_/01t7S;Grande encyclopédie Atlas de la médecine;  ;Paris;Atlas;1978;322;Encyclopédie: médecine;7547
030.1_61_/01t8S;Grande encyclopédie Atlas de la médecine. vol8;  ;Paris;Atlas;1978;322;Encyclopédie: médecine;7548
030.1_61_/02t10S;Le grand médical. t10: maladies infectieuses et parasitaires auxiliaires médicaux thérapeutique;DASSAUD André-George;Genève;Edito-Service;1974;436;Encyclopédie: médecine;7352
030.1_61_/02t11S;Le grand médical. t11: le dictionnaire médical;DASSAUD André-George;Genève;Edito-Service;1974;514;Encyclopédie: médecine;7353
030.1_61_/02t12S;Le grand médical. (t12): les premiers soins les urgences vitales les accidents de loisirs les intoxications;DASSAUD André-George;Genève;Edito-service;1974;386;Encyclopédie: médecine;7354
030.1_61_/02t1S;Le grand médical. t1: histoire de la médecine et de la chirurgie l'avenir de la médecine prix Nobel;DASSAUD André-George;Genève;Edito-service;1974;418;Encyclopédie: médecine;7343
030.1_61_/02t2S;Le grand médical. t2: le coeur, les artères, les veines, les poumons les branches;DASSAUD André-George;Genève;Edito-service;1974;426;Encyclopédie: médecine;7344
030.1_61_/02t3S;Le grand médical. t3: le sang et les organes hématopoïétiques tube digestif, les annexes du tube digestif;DASSAUD André-George;Genève;Edito-service;1974;414;Encyclopédie: médecine;7345
030.1_61_/02t4S;Le grand médical. t4: l'immunité, les reins, les os et les articulations les muscles et les tendons;DASSAUD André-George;Genève;Edito-service;1974;402;Encyclopédie: médecine;7346
030.1_61_/02t5S;Le grand médical. t5: la peau,  le système nerveux la psychiatrie;DASSAUD André-George;Genève;Edito-service;1974;402;Encyclopédie: médecine;7347
030.1_61_/02t6S;Le grand médical. t6: la maternité puériculture pédiatrie, la psycho-pédiatrie;DASSAUD André-George;Genève;Edito-service;1974;402;Encyclopédie: médecine;7348
030.1_61_/02t7S;Le grand médical. t7: les organes génitaux féminins les organes génitaux masculins vie sexuelle.;DASSAUD André-George;Genève;Edito-service;1974;442;Encyclopédie: médecine;7349
030.1_61_/02t8S;Le grand médical. t8: l'hygiène sociale l'hygiène individuelle diététique, l'esthétique;DASSAUD André George;Genève;Edito-service;1974;406;Encyclopédie: médecine;7351
030.1_61_/02t9S;Le grand médical. t9: les yeux, l'oreille, le nez, la gorge, la bouche et les dents, la gérontologie.;DASSAUD André-George;Genève;Edito-service;1974;414;Encyclopédie: médecine;7350
030.1_61_/03t1S;Histoire de la médecine: de la pharmacie de l'art dentaire et de l'art vétérinaire. t1;MARTINY Marcel;Milan;S.e.p.m;1977;402;Encyclopédie: médecine;14678
030.1_61_/03t2S;Histoire de la médecine: de la pharmacie de l'art dentaire et de l'art vétérinaire. t2;MARTINY Marcel;Milan;S.f.e.p.m;1977;410;Encyclopédie: médecine;14679
030.1_61_/03t3S;Histoire de la médecine: de la pharmacie de l'art dentaire et de l'art vétérinaire. t3;MARTINY Marcel;Milan;S.f.e.p.m;1978;404;Encyclopédie: médecine;14680
030.1_61_/03t4S;Histoire de la médecine: de la pharmacie de l'art dentaire et de l'art vétérinaire. t4;MARTINY Marcel;Milan;S.f.e.p.m;1978;386;Encyclopédie: médecine;14681
030.1_61_/03t5S;Histoire de la médecine: de la pharmacie de l'art dentaire et de l'art vétérinaire. t5;MARTINY Marcel;Milan;S.f.e.p.m;1978;404;Encyclopédie: médecine;14682
030.1_61_/03t6S;Histoire de la médecine: de la pharmacie de l'art dentaire et de l'art vétérinaire. t6;MARTINY Marcel;Milan;S.f.e.p.m;1979;402;Encyclopédie: médecine;14683
030.1_61_/03t7S;Histoire de la médecine: de la pharmacie de l'art dentaire et de l'art vétérinaire. t7;MARTINY Marcel;Milan;S.f.e.p.m;1980;402;Encyclopédie: médecine;14684
030.1_61_/03t8S;Histoire de la médecine: de la pharmacie de l'art dentaire et de l'art vétérinaire. t8;MARTINY Marcel;Milan;S.f.e.p.m;1980;386;Encyclopédie: médecine;14685
030.1_65_/01t10;Encyclopédie des techniques de gestion : les mathématiques de la gestion. t10;CHARDONNET Léo;Paris;Delmas;1978;366;Encyclopédie de la gestion;4438
030.1_65_/01t1S;Encyclopédie des techniques de gestion : comptabilité usuelle. t1;CHARDONNET Léo;Paris;Delmas;1976;482;Encyclopédie de la gestion;4429
030.1_65_/01t2S;Encyclopédie des techniques de gestion : comptabilité des sociétés commerciales. t2;CHARDONNET Léo;Paris;Delmas;1975;400;Encyclopédie de la gestion;4430
030.1_65_/01t4S;Encyclopédie des techniques de gestion : comptabilité analytique. t4;CHARDONNET Léo;Paris;Delmas;1976;308;Encyclopédie de la gestion;4432
030.1_65_/01t5S;Encyclopédie des techniques de gestion : comptabilité supérieure. t5;CHARDONNET Léo;Paris;Delmas;1978;400;Encyclopédie de la gestion;4433
030.1_65_/01t6S;Encyclopédie des techniques de gestion : comptabilité diverse. t6;CHARDONNET Léo;Paris;Delmas;1979;414;Encyclopédie de la gestion;4434
030.1_65_/01t7S;Encyclopédie des techniques de gestion: organisation, gestion, informatique. t7;CHARDONNET Léo;Paris;Delmas;1972;456;Encyclopédie de la gestion;4435
030.1_65_/01t8S;Encyclopédie des techniques de gestion : contrôle et expertise comptable. t8;CHARDONNET Léo;Paris;Delmas;1977;344;Encyclopédie de la gestion;4436
030.1_65_/01t9S;Encyclopédie des techniques de gestion : l'informatique face à la comptabilité. t9;CHARDONNET Léo;Paris;Delmas;1975;184;Encyclopédie de la gestion;4437
030.1_681.3_/01;Encyclopédie des équipements de bureau et matériels d'informatique : nomenclature des équipements de bureau;  ;Paris;Cimab;1978;0;Encyclopédie des appareils de l'informatique;4254
030.1_681.3_/01t2;Encyclopédie des équipements de bureau et matériels d'informatique : coûts comparés de différents procédés;  ;Paris;Cimab;1979;;Encyclopédie des appareils de l'informatique;4255
030.1_681.3_/01t3;Encyclopédie des équipements de bureau et matériels d'informatique : matériels d'enregistrement. t3;  ;Paris;Cimab;1979;;Encyclopédie des appareils de l'informatique;4256
030.1_681.3_/01t4;Encyclopédie des équipements de bureau et matériels d'informatique: l'ordinateur. t4;  ;Paris;Cimab;1979;;Encyclopédie des appareils de l'informatique;4257
030.1_681.3_/01t5;Encyclopédie des équipements de bureau et matériels d'informatique : le transport des documents. t5;  ;Paris;Cimab;1979;;Encyclopédie des appareils d'information;4258
030.1_72_/01S;Encyclopédie illustrée d'architecture;  ;Paris;Sacelp;1980;354;Architecture;7329
030.1_72_/02S;Le corbusier une encyclopédie;LUCAN Jacques;Paris;Centre Pompidou;1987;500;Encyclopédie : architecture;20125
030.1_79_/01S;Encyclopédie des citations;DUPRE P;Paris;Trévise;1959;706;Encyclopédie;4357
030.1_79_/01t1S;Encyclopédie du cinéma. t1;BOUSSINOT Roger;Paris;Bordas;1980;650;Encyclopédie du cinéma;9193
030.1_79_/01t2S;Encyclopédie du cinéma. t2;BOUSSINOT Roger;Paris;Bordas;1980;1334;Encyclopédie du cinéma;9194
030.1_8_/02t1S;Encyclopédie du bon français dans l'usage contemporain. t1;DUPRE P;Paris;Trévise;1972;898;Encyclopédie du français;4358
030.1_8_/02t2S;Encyclopédie du bon français dans l'usage contemporain. t2;DUPRE P;Paris;Trévise;1972;1796;Encyclopédie du français;4461
030.1_8_/02t3S;Encyclopédie du bon français dans l'usage contemporain. t3;DUPRE P;Paris;Trévise;1972;2720;Encyclopédie du français;4462
030.1_91_/01S;Grand Atlas du continent africain;VAN Chi-Bonnardel;Paris;Jeune Afrique;1973;338;Encyclopédie de géographie;2439
030.1_91_/02S;Britannica Atlas (1768) Encyclopaedia Britannica;  ;United States;Rand Macnally;1979;536;Encyclopédie de géographie;6081
030.1_91_/03S;Atlas général bordas : la France le monde;SERRYN Pierre. BLASSELLE René;;Bordas;1971;335;Encyclopédie de géographie;126
030.1_91_/04S;Atlas universel;SERRYN Pierre;Paris;Bordas;1977;312;Encyclopédie de géographie;6044
030.1_91_/05S;Atlas général Larousse;  ;Paris;Larousse;1978;312;Encyclopédie de géographie;5913
030.1_91_/06S;Encyclopédie de géographie;  ;Milan;Stock;1969;886;Encyclopédie de géographie;4356
030.1_91_/07S;Atlas encyclopédique du monde;KIDRON Michael;;C. Lévy;1981;0;Encyclopédie de géographie;8641
030.1_91_/08t1S;Focus international : la nature et les hommes. t1;SERRYN P. BLASSELLE R;Paris;Bordas;1972;720;Encyclopédie de géographie;449
030.1_91_/08t2S;Focus international : les hommes et leurs activités. t2;SERRYN P. BLASSELLE R;Paris;Bordas;1973;642;Encyclopédie de géographie;450
030.1_91_/08t3S;Focus international : dictionnaire des états : Abu Dhabi, Espagne. t3;SERRYN P. BLASSELLE R;Paris;Bordas;1976;860;Encyclopédie de géographie;451
030.1_91_/08t4S;Focus international : dictionnaire des états : ETATS-UNIS - Jan mayen. t4;SERRYN P. BLASSELLE R;Paris;Bordas;1976;1088;Encyclopédie de géographie;452
030.1_91_/08t5S;Focus international : dictionnaire des états: Japon, Roumanie. t5;SERRYN P. BLASSELLE R;Paris;Bordas;1976;1632;Encyclopédie de géographie;453
030.1_91_/08t6S;Focus international : dictionnaire des états : Royaume Uni- Zanzibar. t6;SERRYN P. BLASSELLE R;Paris;Bordas;1976;2176;Encyclopédie de géographie;454
030.1_93_/01S;Le grand Atlas de l'histoire mondiale;  ;Paris;Euf;1979;376;Encyclopédie d'histoire;6410
030.1_93_/02S;Atlas d'histoire universelle;  ;Namur;Wesmael-Charlier;1974;136;Encyclopédie d'histoire;6621
030.1_93_/03t1;Civilisations, peuples et mondes : l'antiquité le Proche-Orient, la Grèce. t1;HUYGHE René;Paris;Lidis;1978;480;Encyclopédie de l'histoire;2832
030.1_93_/03t2S;Civilisations, peuples et mondes : l'antiquité, Rome, Byzance, l'Islam. t2;DELBIAUSSE Roger;Paris;Lidis;1978;496;Encyclopédie de l'histoire;2833
030.1_93_/03t3S;Civilisations, peuples et mondes: le moyen âge. t3;FRANçOIS Michel;Paris;Lidis;1978;482;Encyclopédie de l'histoire;2834
030.1_93_/03t4S;Civilisations peuples et mondes : la Renaissance. t4;MOUSNIER Roland;Paris;Lidis;1978;780;Encyclopédie de l'histoire;2836
030.1_93_/03t5S;Civilisations peuples et mondes : l'Asie, l'Amérique, l'Afrique et l'Océanie. t5;RENOU Louis;Paris;Lidis;1978;480;Encyclopédie de l'histoire;2835
030.1_93_/03t6S;Civilisations peuples et mondes : le dix-septième et le dix-huitième siècles. t6;PICARD Raymond;Paris;Lidis;1978;480;Encyclopédie de l'histoire;2837
030.1_93_/03t7S;Civilisations peuples et mondes : le dix-neuvième siècle et l'époque contemporaine. t7;DUROSELLE G.-B;Paris;Lidis;1978;504;Encyclopédie de l'histoire;2838
030.1_93_/04t1S;L'illustration années 1843-1848 : histoire d'un siècle 1843-1944. t1;  ;Italie;Sefag/illustration;1984;303;Histoire de la presse;18148
030.1_93_/04t2S;L'illustration années 1849-1859 : histoire d'un siècle 1843-1944. t2;  ;Italie;Sefag/illustration;1984;303;Encyclopédie de l'histoire;18149
030.1_93_/04t3S;L'illustration années 1860-1870 : histoire d'un siècle 1843-1944. t4;  ;Italie;Sefag/illustration;1984;277;Encyclopédie de l'histoire;18150
030.1_93_/04t4S;L'illustration années 1870-1875 : histoire d'un siècle 1843-1944. t4;  ;Italie;Sefag/illustration;1984;277;Encyclopédie de l'histoire;18151
030.1_93_/04t5S;L'illustration années 1876-1884 : histoire d'un siècle 1843-1944. t5;  ;Italie;Sefag/illustration;1984;287;Encyclopédie de l'histoire;18152
030.1_93_/04t6S;L'illustration années 1885-1891 : histoire d'un siècle 1843-1944. t6;  ;Italie;Sefag/illustration;1985;287;Encyclopédie de l'histoire;18153
030.1_93_/04t7S;L'illustration années 1892-1898 : histoire d'un siècle 1844-1944. t7;  ;Italie;Sefag/illustration;1985;287;Encyclopédie de l'histoire;18154
030.1_93_/04t8S;L'illustration années 1899-1903 : histoire d'un siècle 1943-1944. t8;  ;Italie;Sefag/illustration;1985;287;Encyclopédie de l'histoire;18155
030.1_93_/04t9S;L'illustration années 1904-1908 : histoire d'un siècle 1843-1944. t9;  ;Italie;Sefag/illustration;1985;287;Encyclopédie de l'histoire;18156
030.1_93_/05t1S;Encyclopédie berbère : Abadir-Acridophagie. t1;UNESCO;Paris;Edisud;1984;112;Encyclopédie de l'histoire;15602
030.1_93_/06S;Atlas historique: de l'apparition de l'homme sur la terre à l'ère atomique;  ;Paris;Perrin;1987;640;Encyclopédie : histoire;19577
030.1_93_/19t2S;Encyclopédie berbère: Ad-Aguh-N-Tahlé. t2;UNESCO;Paris;Edisud;1985;270;Encyclopédie de l'histoire;16724
030.1_93_/04t10S;L'illustration. Années 1909-1913 : histoire d'un siècle 1843-1944. t10;  ;Italie;Sefag / Illustration;1985;287;Encyclopédie de l'histoire;18157
030.1_93_/04t11S;L'illustration. Années 1914-1916 : histoire d'un siècle 1843-1944. t11;  ;Italie;Sefag / Illustration;1985;287;Encyclopédie de l'histoire;18158
030.1_93_/04t12S;L'illustration. Années 1917-1919 : histoire d'un siècle 1843-1944. t12;  ;Italie;Sefag;1985;287;Encyclopédie de l'histoire;18159
030.1_93_/04t13S;L'illustration. Années 1920-1925 : histoire d'un siècle 1843-1944. t13;  ;Italie;Sefag;1985;287;Encyclopédie de l'histoire;18160
030.1_93_/04t14S;L'illustration. Années 1926-1932 : histoire d'un siècle 1843-1944. t14;  ;Italie;Sefag;1985;287;Encyclopédie de l'histoire;18161
030.1_93_/04t15S;L'illustration. Années 1933-1937 : histoire d'un siècle 1843-1944. t15;  ;Italie;Sefag;1985;287;Encyclopédie de l'histoire;18162
030.1_93_/04t16S;L'illustration. Années 1938-1944 : histoire d'un siècle 1843-1944. t16;  ;Italie;Sefag;1985;303;Encyclopédie de l'histoire;18163
030.1/01t10S;Grand Larousse encyclopédique. t10;  ;Paris;Larousse;1964;0;Encyclopédie;4375
030.1/01t11S;Grand Larousse encyclopédique. t11;  ;Paris;Larousse;1969;0;Encyclopédie;4376
030.1/01t12S;Grand Larousse encyclopédique. t12;  ;Paris;Larousse;1975;0;Encyclopédie;24142
030.1/01t1S;Grand Larousse encyclopédique. t1;  ;Paris;Larousse;1960;0;Encyclopédie;4366
030.1/01t2S;Grand Larousse encyclopédique. t2;  ;Paris;Larousse;1960;0;Encyclopédie;4367
030.1/01t3S;Grand Larousse encyclopédique. t3;  ;Paris;Larousse;1961;0;Encyclopédie;4368
030.1/01t4S;Grand Larousse encyclopédique. t4;  ;Paris;Larousse;1961;0;Encyclopédie;4369
030.1/01t5S;Grand Larousse encyclopédique. t5;  ;Paris;Larousse;1962;0;Encyclopédie;4370
030.1/01t6S;Grand Larousse encyclopédique. t6;  ;Paris;Larousse;1962;0;Encyclopédie;4371
030.1/01t7S;Grand Larousse encyclopédique. t7;  ;Paris;Larousse;1963;0;Encyclopédie;4372
030.1/01t8S;Grand Larousse encyclopédique. t8;  ;Paris;Larousse;1963;0;Encyclopédie;4373
030.1/01t9S;Grand Larousse encyclopédique. t9;  ;Paris;Larousse;1964;0;Encyclopédie;4374
030.1/02t10S;The New Encyclopaedia Britannica. t10;  ;Chicago;Univ. Chicago;1980;1292;Encyclopédie;2788
030.1/02t11S;The New Encyclopaedia Britannica. t11;  ;Chicago;Univ. Chicago;1980;1124;Encyclopédie;2789
030.1/02t12S;The New Encyclopaedia Britannica. t12;  ;Chicago;Univ. Chicago;1980;1102;Encyclopédie;2790
030.1/02t13S;The New Encyclopaedia Britannica. t13;  ;Chicago;Univ. Chicago;1980;1116;Encyclopédie;2791
030.1/02t14S;The New Encyclopaedia Britannica. t14;  ;Chicago;Univ. Chicago;1980;1118;Encyclopédie;2792
030.1/02t15S;The New Encyclopaedia Britannica. t15;  ;Chicago;Univ. Chicago;1980;1180;Encyclopédie;2793
030.1/02t16S;The New Encyclopaedia Britannica. t16;  ;Chicago;Univ. Chicago;1980;1068;Encyclopédie;2794
030.1/02t17S;The New Encyclopaedia Britannica. t17;  ;Chicago;Univ. Chicago;1980;1092;Encyclopédie;2795
030.1/02t18S;The New Encyclopaedia Britannica. t18;  ;Chicago;Pulb;1980;1110;Encyclopédie;2796
030.1/02t19S;The New Encyclopaedia Britannica. t19;  ;Chicago;Univ. Chicago;1980;1182;Encyclopédie;2797
030.1/02t1S;The New Encyclopaedia Britannica. t1;  ;Chicago;Univ. Chicago;1980;1178;Encyclopédie;2779
030.1/02t20S;The New Encyclopaedia Britannica. t20;  ;Chicago;Univ. Chicago;1980;940;Encyclopédie;2798
030.1/02t21S;The New Encyclopaedia Britannica. t21;  ;Chicago;Univ. Chicago;1980;1052;Encyclopédie;2799
030.1/02t22S;The New Encyclopaedia Britannica. t22;  ;Chicago;Univ. Chicago;1980;1052;Encyclopédie;2800
030.1/02t23S;The New Encyclopaedia Britannica. t23;  ;Chicago;Univ. Chicago;1980;1028;Encyclopédie;2801
030.1/02t24S;The New Encyclopaedia Britannica. t24;  ;Chicago;Univ. Chicago;1980;1052;Encyclopédie;2802
030.1/02t25S;The New Encyclopaedia Britannica. t25;  ;Chicago;Univ. Chicago;1980;1004;Encyclopédie;6045
030.1/02t26S;The New Encyclopaedia Britannica. t26;  ;Chicago;Univ. Chicago;1980;0;Encyclopédie;6046
030.1/02t27S;The New Encyclopaedia Britannica. t27;  ;Chicago;Univ. Chicago;1980;1028;Encyclopédie;6047
030.1/02t28S;The New Encyclopaedia Britannica. t28;  ;Chicago;Univ. Chicago;1980;1004;Encyclopédie;6068
030.1/02t29S;The New Encyclopaedia Britannica. t29;  ;Chicago;Univ. Chicago;1980;1028;Encyclopédie;6069
030.1/02t2S;The New Encyclopaedia Britannica. t2;  ;Chicago;Univ. Chicago;1980;1212;Encyclopédie;2780
030.1/02t30S;The New Encyclopaedia Britannica. t30;  ;Chicago;Univ. Chicago;1980;1062;Encyclopédie;6070
030.1/02t3S;The New Encyclopaedia Britannica. t3;  ;Chicago;Univ. Chicago;1980;1190;Encyclopédie;2781
030.1/02t4S;The New Encyclopaedia Britannica. t4;  ;Chicago;Univ. Chicago;1980;1134;Encyclopédie;2782
030.1/02t5S;The New Encyclopaedia Britannica. t5;  ;Chicago;Univ. Chicago;1980;1142;Encyclopédie;2783
030.1/02t6S;The New Encyclopaedia Britannica. t6;  ;Chicago;Univ. Chicago;1980;1148;Encyclopédie;2784
030.1/02t7S;The New Encyclopaedia Britannica. t7;  ;Chicago;Univ. Chicago;1980;1140;Encyclopédie;2785
030.1/02t8S;The New Encyclopaedia Britannica. t8;  ;Chicago;Univ. Chicago;1980;1196;Encyclopédie;2786
030.1/02t9S;The New Encyclopaedia Britannica. t9;  ;Chicago;Univ. Chicago;1980;1190;Encyclopédie;2787
030.1/03S;Petite encyclopédie Larousse;  ;Paris;Larousse;1976;1490;Encyclopédie;4377
030.1/03t15S;Encyclopédie thématique Weber : l'art. t15;  ;Paris;Weber;1974;410;Encyclopédie;4273
030.1/04t10S;La grande encyclopédie. vol 10;  ;Paris;Larousse;1975;636;Encyclopédie;10176
030.1/04t11S;La grande encyclopédie. vol11;  ;Paris;Larousse;1975;636;Encyclopédie;10177
030.1/04t12S;La grande encyclopédie. vol12;  ;Paris;Larousse;1974;636;Encyclopédie;10178
030.1/04t13S;La grande encyclopédie. vol13;  ;Paris;Larousse;1975;636;Encyclopédie;10179
030.1/04t14S;La grande encyclopédie. vol14;  ;Paris;Larousse;1975;636;Encyclopédie;10180
030.1/04t15S;La grande encyclopédie. vol15;  ;Paris;Larousse;1975;636;Encyclopédie;10181
030.1/04t16S;La grande encyclopédie. vol16;  ;Paris;Larousse;1975;636;Encyclopédie;10182
030.1/04t17S;La grande encyclopédie. vol17;  ;Paris;Larousse;1976;636;Encyclopédie;10183
030.1/04t18S;La grande encyclopédie. vol18;  ;Paris;Larousse;1976;636;Encyclopédie;10184
030.1/04t19S;La grande encyclopédie. vol19;  ;Paris;Larousse;1976;636;Encyclopédie;10185
030.1/04t1S;La grande encyclopédie. vol1;  ;Paris;Larousse;1971;636;Encyclopédie;10167
030.1/04t20S;La grande encyclopédie. vol20;  ;Paris;Larousse;1976;636;Encyclopédie;10186
030.1/04t21S;La grande encyclopédie. vol21;  ;Paris;Larousse;1978;652;Dictionnaire;10189
030.1/04t23S;La grande encyclopédie: supplément. vol23;  ;Paris;Larousse;1981;674;Encyclopédie;10190
030.1/04t2S;La grande encyclopédie. vol2;  ;Paris;Larousse;1971;636;Encyclopédie;10168
030.1/04t3S;La grande encyclopédie. vol3;  ;Paris;Larousse;1972;636;Encyclopédie;10169
030.1/04t4S;La grande encyclopédie. vol4;  ;Paris;Larousse;1972;636;Encyclopédie;10170
030.1/04t5S;La grande encyclopédie. vol5;  ;Paris;Larousse;1973;636;Encyclopédie;10171
030.1/04t6S;La grande encyclopédie. vol6;  ;Paris;Larousse;1973;636;Encyclopédie;10172
030.1/04t7S;La grande encyclopédie. vol7;  ;Paris;Larousse;1973;636;Encyclopédie;10173
030.1/04t8S;La grande encyclopédie. vol8;  ;Paris;Larousse;1975;636;Encyclopédie;10174
030.1/04t9S;La grande encyclopédie. vol9;  ;Paris;Larousse;1974;636;Encyclopédie;10175
030.1/05t10S;Le million, l'encyclopédie de tous les pays du monde : Afrique septentrionale et orientale. t10;  ;Paris;G. Batelière;1975;530;Encyclopédie des pays du monde;6038
030.1/05t11S;Le million, l'encyclopédie de tous les pays du monde: Afrique Occidentale, Centrale, Equatoriale. t11;  ;Paris;Atlas;1975;570;Encyclopédie des pays du monde;6039
030.1/05t12S;Le million, l'encyclopédie de tous les pays du monde: Amérique Septentrionale. t12;  ;Paris;G. Batelière;1975;514;Encyclopédie des pays du monde;6040
030.1/05t13S;Le million, l'encyclopédie de tous les pays du monde: Amérique Centrale et Méridionale. t13;  ;Paris;G. Batelière;1976;450;Encyclopédie des pays du monde;6041
030.1/05t14S;Le million, l'encyclopédie de tous les pays du monde: Amérique Méridionale. t14;  ;Paris;Atlas;1976;526;Encyclopédie des pays du monde;6042
030.1/05t15S;Le million, l'encyclopédie de tous les pays du monde: Océanie. t15;  ;Paris;Atlas;1978;486;Encyclopédie des pays du monde;6043
030.1/05t1S;Le million, l'encyclopédie de tous les pays du monde: Europe. t1;  ;Paris;Atlas;1978;484;Encyclopédie des pays du monde;6029
030.1/05t2S;Le million, l'encyclopédie de tous les pays du monde: Europe. t2;  ;Paris;Atlas;1978;534;Encyclopédie des pays du monde;6030
030.1/05t3S;Le million, l'encyclopédie de tous les pays du monde. Europe. t3;  ;Paris;Atlas;1977;522;Encyclopédie des pays du monde;6031
030.1/05t4S;Le million, l'encyclopédie de tous les pays du monde. Europe. t4;  ;Paris;Atlas;1977;502;Encyclopédie des pays du monde;6032
030.1/05t5S;Le million, l'encyclopédie de tous les pays du monde: Europe. t5;  ;Paris;Atlas;1976;458;Encyclopédie des pays du monde;6033
030.1/05t6S;Le million, l'encyclopédie de tous les pays du monde: Asie du Sud-Ouest. t6;  ;Paris;G. Batelière;1974;518;Encyclopédie des pays du monde;6034
030.1/05t7S;Le million, l'encyclopédie de tous les pays du monde: subcontinent indien. t7;  ;Paris;G. Batelière;1974;434;Encyclopédie des pays du monde;6035
030.1/05t8S;Le million, l'encyclopédie de tous les pays du monde: Asie du sud-est, Asie Orientale. t8;  ;Paris;G. Batelière;1973;434;Encyclopédie des pays du monde;6036
030.1/05t9S;Le million, l'encyclopédie de tous les pays du monde: Asie Orientale. t9;  ;Paris;G. Batelière;1973;446;Encyclopédie des pays du monde;6037
